Time (s),Current (A),Voltage (V),Temperature (K)
121.367488,1.900000e+00,0.000333712,76.980
122.133982,1.900000e+00,0.000333782,76.980
122.865724,1.900000e+00,0.000333815,76.920
123.651103,1.900000e+00,0.000333746,76.900
124.430376,1.900000e+00,0.000333782,76.920
125.194703,1.900000e+00,0.000333725,76.920
127.573894,2.000000e+00,0.000390394,76.980
128.338804,2.000000e+00,0.000390240,76.980
129.121197,2.000000e+00,0.000389145,76.920
129.900939,2.000000e+00,0.000389112,76.920
130.737483,2.000000e+00,0.000389025,76.920
131.498317,2.000000e+00,0.000389056,76.920
132.230335,2.000000e+00,0.000389104,76.920
