Time (s),Current (A),Voltage (V),Temperature (K)
1.579590,1.000000e-01,0.000000357,0.000
1.866408,1.000000e-01,0.000000359,0.000
2.033107,1.000000e-01,0.000000359,0.000
2.203444,1.000000e-01,0.000000363,0.000
2.373013,1.000000e-01,0.000000363,0.000
2.541946,1.000000e-01,0.000000366,0.000
2.712197,1.000000e-01,0.000000366,0.000
2.882760,1.000000e-01,0.000000366,0.000
3.051473,1.000000e-01,0.000000369,0.000
3.221971,1.000000e-01,0.000000369,0.000
3.405531,1.000000e-01,0.000000374,0.000
3.576221,1.000000e-01,0.000000374,0.000
3.746287,1.000000e-01,0.000000374,0.000
3.929715,1.000000e-01,0.000000378,0.000
4.099872,1.000000e-01,0.000000378,0.000
4.273890,1.000000e-01,0.000000382,0.000
4.542400,1.000000e-01,0.000000382,0.000
4.711317,1.000000e-01,0.000000386,0.000
5.000905,1.000000e-01,0.000000386,0.000
5.173962,1.000000e-01,0.000000388,0.000
5.344379,1.000000e-01,0.000000388,0.000
5.513002,1.000000e-01,0.000000388,0.000
5.698846,1.000000e-01,0.000000388,0.000
5.873637,1.000000e-01,0.000000388,0.000
6.044303,1.000000e-01,0.000000388,0.000
6.215109,1.000000e-01,0.000000388,0.000
6.385267,1.000000e-01,0.000000386,0.000
6.560902,1.000000e-01,0.000000386,0.000
6.821925,1.000000e-01,0.000000387,0.000
6.994830,1.000000e-01,0.000000387,0.000
7.166374,1.000000e-01,0.000000387,0.000
7.335212,1.000000e-01,0.000000388,0.000
7.504345,1.000000e-01,0.000000388,0.000
7.674407,1.000000e-01,0.000000388,0.000
7.844630,1.000000e-01,0.000000388,0.000
8.013365,1.000000e-01,0.000000388,0.000
8.184930,1.000000e-01,0.000000387,0.000
8.448284,1.000000e-01,0.000000387,0.000
8.617643,1.000000e-01,0.000000386,0.000
8.788064,1.000000e-01,0.000000386,0.000
8.956966,1.000000e-01,0.000000385,0.000
9.127466,1.000000e-01,0.000000385,0.000
9.296893,1.000000e-01,0.000000385,0.000
9.467260,1.000000e-01,0.000000385,0.000
9.636514,1.000000e-01,0.000000385,0.000
9.806274,1.000000e-01,0.000000383,0.000
9.975611,1.000000e-01,0.000000383,0.000
10.145534,1.000000e-01,0.000000383,0.000
10.315640,1.000000e-01,0.000000385,0.000
10.484718,1.000000e-01,0.000000385,0.000
10.654415,1.000000e-01,0.000000386,0.000
10.932078,1.000000e-01,0.000000386,0.000
11.103217,1.000000e-01,0.000000385,0.000
11.274361,1.000000e-01,0.000000385,0.000
11.457755,1.000000e-01,0.000000385,0.000
13.206015,2.000000e-01,0.000000369,0.000
13.379056,2.000000e-01,0.000000369,0.000
13.549763,2.000000e-01,0.000000369,0.000
13.718506,2.000000e-01,0.000000369,0.000
13.901112,2.000000e-01,0.000000372,0.000
14.072015,2.000000e-01,0.000000372,0.000
14.242959,2.000000e-01,0.000000372,0.000
14.426111,2.000000e-01,0.000000375,0.000
14.596164,2.000000e-01,0.000000375,0.000
14.767306,2.000000e-01,0.000000378,0.000
14.949839,2.000000e-01,0.000000378,0.000
15.119333,2.000000e-01,0.000000378,0.000
15.292127,2.000000e-01,0.000000381,0.000
15.458711,2.000000e-01,0.000000381,0.000
15.629166,2.000000e-01,0.000000384,0.000
15.800708,2.000000e-01,0.000000384,0.000
15.968534,2.000000e-01,0.000000384,0.000
16.139124,2.000000e-01,0.000000385,0.000
16.309042,2.000000e-01,0.000000385,0.000
16.477619,2.000000e-01,0.000000385,0.000
16.649135,2.000000e-01,0.000000385,0.000
16.918568,2.000000e-01,0.000000389,0.000
